,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
musa acuminata,YECLLIMZHNYFCK,311.36862360000003,6,51.8947706,1025.9,0,musa acuminata,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
musa acuminata,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,musa acuminata,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
musa acuminata,WUUGFSXJNOTRMR,303.5294768,9,33.72549742222222,297.34,1,musa acuminata,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
musa acuminata,XGYIMTFOTBMPFP,301.0257133,7,43.00367332857142,251.24,0,musa acuminata,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
musa acuminata,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,musa acuminata,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
musa acuminata,IYODIJVWGPRBGQ,283.491156,2,141.745578,200.26,0,musa acuminata,1,{'IYODIJVWGPRBGQ-UHFFFAOYSA-N'}
musa acuminata,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,musa acuminata,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
musa acuminata,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,musa acuminata,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
musa acuminata,OSJPPGNTCRNQQC,276.8342496,18,15.379680533333334,186.06,1,musa acuminata,1,"{'OSJPPGNTCRNQQC-UWTATZPHSA-N', 'OSJPPGNTCRNQQC-UWTATZPHSA-K'}"
musa acuminata,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,musa acuminata,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
musa acuminata,IGSYEZFZPOZFNC,267.72,2,133.86,370.26,0,musa acuminata,1,{'IGSYEZFZPOZFNC-LKIWRGPLSA-N'}
musa acuminata,IKMDFBPHZNJCSN,266.70867499999997,3,88.90289166666666,317.23,0,musa acuminata,1,"{'IKMDFBPHZNJCSN-UHFFFAOYSA-N', 'IKMDFBPHZNJCSN-UHFFFAOYSA-M'}"
musa acuminata,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,musa acuminata,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
musa acuminata,DFPAKSUCGFBDDF,257.6249158,5,51.52498316,122.12,1,musa acuminata,1,{'DFPAKSUCGFBDDF-UHFFFAOYSA-N'}
musa acuminata,SFRQRNJMIIUYDI,254.90050000000002,4,63.725125000000006,276.07,0,musa acuminata,1,"{'SFRQRNJMIIUYDI-UHNVWZDZSA-N', 'SFRQRNJMIIUYDI-UHNVWZDZSA-L'}"
musa acuminata,LHFJOBMTAJJOTB,251.64483919999998,6,41.94080653333334,175.12,0,musa acuminata,1,{'LHFJOBMTAJJOTB-JLAZNSOCSA-N'}
musa acuminata,YVLXSHWZFBDIEL,250.744304,2,125.372152,721.7,0,musa acuminata,1,{'YVLXSHWZFBDIEL-SRDSWEMOSA-N'}
musa acuminata,IVLBHBFTRNVIAP,246.88441799999998,8,30.860552249999998,791.0,0,musa acuminata,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
musa acuminata,ASCFNMCAHFUBCO,243.6434665,4,60.910866625,153.01,0,musa acuminata,1,"{'ASCFNMCAHFUBCO-UHFFFAOYSA-K', 'ASCFNMCAHFUBCO-UHFFFAOYSA-N'}"
musa acuminata,NCMVOABPESMRCP,242.70908065999998,10,24.270908066,305.18,0,musa acuminata,1,"{'NCMVOABPESMRCP-SHYZEUOFSA-N', 'NCMVOABPESMRCP-SHYZEUOFSA-L'}"
musa acuminata,XFNJVJPLKCPIBV,240.782745,9,26.753638333333335,74.13,0,musa acuminata,1,"{'XFNJVJPLKCPIBV-UHFFFAOYSA-P', 'XFNJVJPLKCPIBV-UHFFFAOYSA-N'}"
musa acuminata,AEMOLEFTQBMNLQ,225.06,5,45.012,194.14,1,musa acuminata,1,"{'AEMOLEFTQBMNLQ-AQKNRBDQSA-N', 'AEMOLEFTQBMNLQ-YMDCURPLSA-N'}"
musa acuminata,JDLKFOPOAOFWQN,219.287,2,109.6435,162.3,0,musa acuminata,1,{'JDLKFOPOAOFWQN-UHFFFAOYSA-N'}
musa acuminata,WNVFJMYPVBOLKV,217.899934,2,108.949967,1074,0,musa acuminata,1,"{'WNVFJMYPVBOLKV-YLNUKALLSA-J', 'WNVFJMYPVBOLKV-PJDIVXIPSA-N'}"
musa acuminata,HTJXTKBIUVFUAR,216.49871599999997,4,54.124679,597.26,0,musa acuminata,1,"{'HTJXTKBIUVFUAR-XHIBXCGHSA-N', 'HTJXTKBIUVFUAR-XHIBXCGHSA-J'}"
musa acuminata,NNICRUQPODTGRU,216.154107,4,54.03852675,133.15,0,musa acuminata,1,{'NNICRUQPODTGRU-QMMMGPOBSA-N'}
musa acuminata,AFVFQIVMOAPDHO,211.89196,4,52.972989999999996,95.1,0,musa acuminata,1,{'AFVFQIVMOAPDHO-UHFFFAOYSA-M'}
musa acuminata,HQLQCGJTTNRNTL,203.48756,3,67.82918666666666,626.9,0,musa acuminata,1,{'HQLQCGJTTNRNTL-XXRBRTKDSA-J'}
musa acuminata,VEXDOCFQMVMPHJ,195.34352,2,97.67176,271.31,0,musa acuminata,1,"{'VEXDOCFQMVMPHJ-HOTGVXAUSA-N', 'VEXDOCFQMVMPHJ-HZPDHXFCSA-N'}"
musa acuminata,CWVRJTMFETXNAD,194.6347554,5,38.92695108,353.3,0,musa acuminata,1,"{'CWVRJTMFETXNAD-JUHZACGLSA-M', 'CWVRJTMFETXNAD-JUHZACGLSA-N'}"
musa acuminata,HOOOPXDSCKBLFG,192.574103,3,64.19136766666666,149.15,0,musa acuminata,1,{'HOOOPXDSCKBLFG-MRVPVSSYSA-N'}
musa acuminata,SXFSQZDSUWACKX,191.026183,5,38.2052366,148.18,0,musa acuminata,1,"{'SXFSQZDSUWACKX-UHFFFAOYSA-N', 'SXFSQZDSUWACKX-UHFFFAOYSA-M'}"
musa acuminata,QMPHZIPNNJOWQI,190.4047354,4,47.60118385,336.29,0,musa acuminata,1,"{'QMPHZIPNNJOWQI-GDDAOPKQSA-M', 'QMPHZIPNNJOWQI-GDDAOPKQSA-N'}"
musa acuminata,MXFPFNSSZYNJGX,189.5872528,3,63.195750933333336,508.29,0,musa acuminata,1,{'MXFPFNSSZYNJGX-HNNGNKQASA-K'}
musa acuminata,LTQYPAVLAYVKTK,188.664637,5,37.7329274,184.11,0,musa acuminata,1,"{'LTQYPAVLAYVKTK-YFKPBYRVSA-N', 'LTQYPAVLAYVKTK-UHFFFAOYSA-N'}"
musa acuminata,KJKIEFUPAPPGBC,187.722011,3,62.57400366666667,257.25,0,musa acuminata,1,{'KJKIEFUPAPPGBC-XXKOCQOQSA-N'}
musa acuminata,UJGZOSZMMQGHPD,178.66476,2,89.33238,432.7,0,musa acuminata,1,"{'UJGZOSZMMQGHPD-SBFVNBAVSA-N', 'UJGZOSZMMQGHPD-GTYSVAQVSA-N'}"
musa acuminata,PCLHVGYGQYOJEF,178.66473,2,89.332365,430.7,0,musa acuminata,1,"{'PCLHVGYGQYOJEF-DELKORAPSA-N', 'PCLHVGYGQYOJEF-YPODHHRNSA-N'}"
