,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
solanum lycopersicum,YPZRWBKMTBYPTK,368.1328973,19,19.37541564736842,612.6,1,solanum lycopersicum,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
solanum lycopersicum,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,solanum lycopersicum,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
solanum lycopersicum,REFJWTPEDVJJIY,361.31785959999996,13,27.793681507692305,302.23,0,solanum lycopersicum,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
solanum lycopersicum,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,solanum lycopersicum,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
solanum lycopersicum,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,solanum lycopersicum,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
solanum lycopersicum,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,solanum lycopersicum,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
solanum lycopersicum,BXXSHQYDJWZXPB,345.25909,3,115.08636333333332,236.35,0,solanum lycopersicum,1,{'BXXSHQYDJWZXPB-OKNSCYNVSA-N'}
solanum lycopersicum,WUUGFSXJNOTRMR,336.2384998,10,33.62384998,297.34,1,solanum lycopersicum,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
solanum lycopersicum,AFVFQIVMOAPDHO,320.32399599999997,6,53.387332666666666,95.1,0,solanum lycopersicum,1,{'AFVFQIVMOAPDHO-UHFFFAOYSA-M'}
solanum lycopersicum,DJJCXFVJDGTHFX,314.82494570392,28,11.243748060854285,324.18,1,solanum lycopersicum,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
solanum lycopersicum,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,solanum lycopersicum,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
solanum lycopersicum,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,solanum lycopersicum,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
solanum lycopersicum,XGYIMTFOTBMPFP,301.0257133,7,43.00367332857142,251.24,0,solanum lycopersicum,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
solanum lycopersicum,YECLLIMZHNYFCK,299.7107867,6,49.95179778333334,1025.9,0,solanum lycopersicum,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
solanum lycopersicum,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,solanum lycopersicum,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
solanum lycopersicum,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,solanum lycopersicum,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
solanum lycopersicum,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,solanum lycopersicum,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
solanum lycopersicum,OSJPPGNTCRNQQC,276.8342496,18,15.379680533333334,186.06,1,solanum lycopersicum,1,"{'OSJPPGNTCRNQQC-UWTATZPHSA-N', 'OSJPPGNTCRNQQC-UWTATZPHSA-K'}"
solanum lycopersicum,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,solanum lycopersicum,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
solanum lycopersicum,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,solanum lycopersicum,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
solanum lycopersicum,CAOMCZAIALVUPA,262.77414,2,131.38707,120.17,0,solanum lycopersicum,1,"{'CAOMCZAIALVUPA-UHFFFAOYSA-N', 'CAOMCZAIALVUPA-UHFFFAOYSA-M'}"
solanum lycopersicum,DFPAKSUCGFBDDF,257.6249158,5,51.52498316,122.12,1,solanum lycopersicum,1,{'DFPAKSUCGFBDDF-UHFFFAOYSA-N'}
solanum lycopersicum,SFRQRNJMIIUYDI,254.90050000000002,4,63.725125000000006,276.07,0,solanum lycopersicum,1,"{'SFRQRNJMIIUYDI-UHNVWZDZSA-N', 'SFRQRNJMIIUYDI-UHNVWZDZSA-L'}"
solanum lycopersicum,NXJJBCPAGHGVJC,252.978639,3,84.326213,408.7,0,solanum lycopersicum,1,{'NXJJBCPAGHGVJC-LIKFLUFESA-N'}
solanum lycopersicum,LHFJOBMTAJJOTB,251.64483919999998,6,41.94080653333334,175.12,0,solanum lycopersicum,1,{'LHFJOBMTAJJOTB-JLAZNSOCSA-N'}
solanum lycopersicum,IKMDFBPHZNJCSN,251.0911056,4,62.7727764,317.23,0,solanum lycopersicum,1,"{'IKMDFBPHZNJCSN-UHFFFAOYSA-N', 'IKMDFBPHZNJCSN-UHFFFAOYSA-M'}"
solanum lycopersicum,YVLXSHWZFBDIEL,250.744304,2,125.372152,721.7,0,solanum lycopersicum,1,{'YVLXSHWZFBDIEL-SRDSWEMOSA-N'}
solanum lycopersicum,ASCFNMCAHFUBCO,243.6434665,4,60.910866625,153.01,0,solanum lycopersicum,1,"{'ASCFNMCAHFUBCO-UHFFFAOYSA-K', 'ASCFNMCAHFUBCO-UHFFFAOYSA-N'}"
solanum lycopersicum,NCMVOABPESMRCP,242.70908065999998,10,24.270908066,305.18,0,solanum lycopersicum,1,"{'NCMVOABPESMRCP-SHYZEUOFSA-N', 'NCMVOABPESMRCP-SHYZEUOFSA-L'}"
solanum lycopersicum,CSCPPACGZOOCGX,227.1373833,3,75.7124611,58.08,0,solanum lycopersicum,1,{'CSCPPACGZOOCGX-UHFFFAOYSA-N'}
solanum lycopersicum,AEMOLEFTQBMNLQ,221.03,6,36.83833333333334,194.14,1,solanum lycopersicum,1,"{'AEMOLEFTQBMNLQ-AQKNRBDQSA-N', 'AEMOLEFTQBMNLQ-YMDCURPLSA-N'}"
solanum lycopersicum,LFTYTUAZOPRMMI,218.90192580547,15,14.593461720364665,605.3,0,solanum lycopersicum,1,"{'LFTYTUAZOPRMMI-FTFHWYEPSA-N', 'LFTYTUAZOPRMMI-CFRASDGPSA-N', 'LFTYTUAZOPRMMI-CFRASDGPSA-L', 'LFTYTUAZOPRMMI-NESSUJCYSA-L'}"
solanum lycopersicum,WNVFJMYPVBOLKV,217.899934,2,108.949967,1074,0,solanum lycopersicum,1,"{'WNVFJMYPVBOLKV-YLNUKALLSA-J', 'WNVFJMYPVBOLKV-PJDIVXIPSA-N'}"
solanum lycopersicum,HTJXTKBIUVFUAR,216.49871599999997,4,54.124679,597.26,0,solanum lycopersicum,1,"{'HTJXTKBIUVFUAR-XHIBXCGHSA-N', 'HTJXTKBIUVFUAR-XHIBXCGHSA-J'}"
solanum lycopersicum,AHMIDUVKSGCHAU,216.48682637060548,8,27.060853296325686,195.17,0,solanum lycopersicum,1,{'AHMIDUVKSGCHAU-LURJTMIESA-N'}
solanum lycopersicum,JLIDBLDQVAYHNE,214.49375610000004,7,30.641965157142856,263.31,1,solanum lycopersicum,1,"{'JLIDBLDQVAYHNE-YKALOCIXSA-N', 'JLIDBLDQVAYHNE-IBPUIESWSA-M', 'JLIDBLDQVAYHNE-YKALOCIXSA-M'}"
solanum lycopersicum,QAOWNCQODCNURD,212.47666699999996,12,17.706388916666665,96.07,1,solanum lycopersicum,1,"{'QAOWNCQODCNURD-UHFFFAOYSA-L', 'QAOWNCQODCNURD-UHFFFAOYSA-N'}"
solanum lycopersicum,RWKJTIHNYSIIHW,206.70600430000002,7,29.52942918571429,309.4,0,solanum lycopersicum,1,"{'RWKJTIHNYSIIHW-MEBVTJQTSA-N', 'RWKJTIHNYSIIHW-MEBVTJQTSA-M', 'RWKJTIHNYSIIHW-RWUWUJKWSA-M'}"
solanum lycopersicum,HQLQCGJTTNRNTL,203.48756,3,67.82918666666666,626.9,0,solanum lycopersicum,1,{'HQLQCGJTTNRNTL-XXRBRTKDSA-J'}
solanum lycopersicum,JGUNZIWGNMQSBM,201.8359894,6,33.63933156666667,312.4,0,solanum lycopersicum,1,"{'JGUNZIWGNMQSBM-WXUVIADPSA-M', 'JGUNZIWGNMQSBM-UINYOVNOSA-M', 'JGUNZIWGNMQSBM-UINYOVNOSA-N'}"
solanum lycopersicum,VEXDOCFQMVMPHJ,195.34352,2,97.67176,271.31,0,solanum lycopersicum,1,"{'VEXDOCFQMVMPHJ-HOTGVXAUSA-N', 'VEXDOCFQMVMPHJ-HZPDHXFCSA-N'}"
solanum lycopersicum,CWVRJTMFETXNAD,194.6347554,5,38.92695108,353.3,1,solanum lycopersicum,1,"{'CWVRJTMFETXNAD-JUHZACGLSA-M', 'CWVRJTMFETXNAD-JUHZACGLSA-N'}"
solanum lycopersicum,SEWWFHKIKWFJNV,193.6293875,2,96.81469375,101.15,0,solanum lycopersicum,1,{'SEWWFHKIKWFJNV-WHEKYOLUSA-N'}
solanum lycopersicum,SYJPAKDNFZLSMV,191.7293584,2,95.8646792,87.12,0,solanum lycopersicum,1,{'SYJPAKDNFZLSMV-HWKANZROSA-N'}
solanum lycopersicum,SXFSQZDSUWACKX,191.026183,5,38.2052366,148.18,0,solanum lycopersicum,1,"{'SXFSQZDSUWACKX-UHFFFAOYSA-N', 'SXFSQZDSUWACKX-UHFFFAOYSA-M'}"
solanum lycopersicum,QMPHZIPNNJOWQI,190.4047354,4,47.60118385,336.29,0,solanum lycopersicum,1,"{'QMPHZIPNNJOWQI-GDDAOPKQSA-M', 'QMPHZIPNNJOWQI-GDDAOPKQSA-N'}"
solanum lycopersicum,MXFPFNSSZYNJGX,189.5872528,3,63.195750933333336,508.29,0,solanum lycopersicum,1,{'MXFPFNSSZYNJGX-HNNGNKQASA-K'}
solanum lycopersicum,UZKQTCBAMSWPJD,188.66601171000002,11,17.15145561,219.24,0,solanum lycopersicum,1,"{'UZKQTCBAMSWPJD-FARCUNLSSA-N', 'UZKQTCBAMSWPJD-UQCOIBPSSA-N'}"
solanum lycopersicum,LTQYPAVLAYVKTK,188.664637,5,37.7329274,184.11,0,solanum lycopersicum,1,"{'LTQYPAVLAYVKTK-YFKPBYRVSA-N', 'LTQYPAVLAYVKTK-UHFFFAOYSA-N'}"
solanum lycopersicum,KJKIEFUPAPPGBC,187.722011,3,62.57400366666667,257.25,0,solanum lycopersicum,1,{'KJKIEFUPAPPGBC-XXKOCQOQSA-N'}
solanum lycopersicum,UJGZOSZMMQGHPD,178.66476,2,89.33238,432.7,0,solanum lycopersicum,1,"{'UJGZOSZMMQGHPD-SBFVNBAVSA-N', 'UJGZOSZMMQGHPD-GTYSVAQVSA-N'}"
solanum lycopersicum,PCLHVGYGQYOJEF,178.66473,2,89.332365,430.7,0,solanum lycopersicum,1,"{'PCLHVGYGQYOJEF-DELKORAPSA-N', 'PCLHVGYGQYOJEF-YPODHHRNSA-N'}"
solanum lycopersicum,PSQYTAPXSHCGMF,176.72,2,88.36,192.3,0,solanum lycopersicum,1,{'PSQYTAPXSHCGMF-BQYQJAHWSA-N'}
solanum lycopersicum,RTQMRTSPTLIIHM,174.364111,4,43.59102775,555.28,0,solanum lycopersicum,1,"{'RTQMRTSPTLIIHM-KEOHHSTQSA-N', 'RTQMRTSPTLIIHM-KEOHHSTQSA-J'}"
solanum lycopersicum,DOUMFZQKYFQNTF,173.6794854,3,57.8931618,359.3,1,solanum lycopersicum,1,{'DOUMFZQKYFQNTF-WUTVXBCWSA-M'}
solanum lycopersicum,LLFIMDUWAVPJEJ,172.90954,3,57.63651333333333,464.7,0,solanum lycopersicum,1,"{'LLFIMDUWAVPJEJ-KKOXEEMUSA-N', 'LLFIMDUWAVPJEJ-ZIXOBUGNSA-N'}"
solanum lycopersicum,RSVUVHWOGWOXAY,172.3637144,4,43.0909286,249.32,0,solanum lycopersicum,1,"{'RSVUVHWOGWOXAY-BQULMBIYSA-M', 'RSVUVHWOGWOXAY-IAJVGIPZSA-M'}"
solanum lycopersicum,LUKZREJJLWEWQM,171.9092,2,85.9546,150.26,0,solanum lycopersicum,1,{'LUKZREJJLWEWQM-YRNVUSSQSA-N'}
solanum lycopersicum,TYQZWSFEJJSSQR,171.43,1,171.43,138.16,0,solanum lycopersicum,1,{'TYQZWSFEJJSSQR-YUHMVAQCSA-N'}
solanum lycopersicum,OTIYLZVFQIMLQH,171.43,1,171.43,302.4,0,solanum lycopersicum,1,{'OTIYLZVFQIMLQH-FRGMPSNRSA-N'}
solanum lycopersicum,QXJSYJRWEUENRT,169.35999,1,169.35999,216.27,0,solanum lycopersicum,1,{'QXJSYJRWEUENRT-PSAUJTBTSA-N'}
