,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
olea europaea var. sylvestris,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,olea europaea var. sylvestris,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
olea europaea var. sylvestris,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,olea europaea var. sylvestris,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
olea europaea var. sylvestris,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,olea europaea var. sylvestris,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
olea europaea var. sylvestris,DJJCXFVJDGTHFX,314.82494570392,28,11.243748060854285,324.18,0,olea europaea var. sylvestris,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
olea europaea var. sylvestris,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,olea europaea var. sylvestris,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
olea europaea var. sylvestris,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,olea europaea var. sylvestris,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
olea europaea var. sylvestris,YECLLIMZHNYFCK,304.99142630000006,7,43.57020375714286,1025.9,0,olea europaea var. sylvestris,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
olea europaea var. sylvestris,WUUGFSXJNOTRMR,303.5294768,9,33.72549742222222,297.34,0,olea europaea var. sylvestris,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
olea europaea var. sylvestris,XGYIMTFOTBMPFP,301.0257133,7,43.00367332857142,251.24,0,olea europaea var. sylvestris,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
olea europaea var. sylvestris,WHUUTDBJXJRKMK,295.460070363,127,2.326457246952756,146.12,1,olea europaea var. sylvestris,1,"{'WHUUTDBJXJRKMK-UHFFFAOYSA-N', 'WHUUTDBJXJRKMK-GSVOUGTGSA-M', 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'}"
olea europaea var. sylvestris,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,olea europaea var. sylvestris,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
olea europaea var. sylvestris,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,olea europaea var. sylvestris,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
olea europaea var. sylvestris,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,olea europaea var. sylvestris,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
olea europaea var. sylvestris,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,olea europaea var. sylvestris,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
olea europaea var. sylvestris,IGSYEZFZPOZFNC,267.72,2,133.86,370.26,0,olea europaea var. sylvestris,1,{'IGSYEZFZPOZFNC-LKIWRGPLSA-N'}
olea europaea var. sylvestris,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,olea europaea var. sylvestris,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
