,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
cicer arietinum,cicer arietinum,1210,14.977753,0.6193082311733801,0.5026016591653991,0.1140819964349376,0.060455020529704195,0.56,2166,3463
cicer arietinum,cicer arietinum,1260,7.3599853,0.5912799621470035,0.4722881242642881,0.11357586512866016,0.0603777613564206,0.58,2166,3463
cicer arietinum,cicer arietinum,1310,7.3599853,0.591255060728745,0.46122567125840735,0.1133746678476528,0.060212253332753936,0.6,2166,3463
cicer arietinum,cicer arietinum,1360,7.3599853,0.5993400557468437,0.4558249275941276,0.11327433628318584,0.059957055827424346,0.63,2166,3463
cicer arietinum,cicer arietinum,1410,7.3599853,0.606141795189057,0.4505548759717277,0.11317418213969939,0.05968931280005607,0.65,2166,3463
cicer arietinum,cicer arietinum,1460,7.3599853,0.6203810650665315,0.4503970016882341,0.11317418213969939,0.0593735642330688,0.67,2166,3463
cicer arietinum,cicer arietinum,1510,7.3599853,0.6175596422790117,0.440390709865757,0.11297440423654016,0.059125521765957756,0.7,2166,3463
cicer arietinum,cicer arietinum,1560,7.3599853,0.6226478040540541,0.4354887364375031,0.11287477954144623,0.05883326035128692,0.72,2166,3463
cicer arietinum,cicer arietinum,1610,7.3599853,0.6118028104559692,0.4218033211020092,0.11257695690413369,0.058622302568436084,0.74,2166,3463
cicer arietinum,cicer arietinum,1660,7.3599853,0.5879633645616471,0.4012258106083122,0.11208406304728548,0.05861860413882544,0.77,2166,3463
cicer arietinum,cicer arietinum,1710,7.3599853,0.574121970226259,0.38637375276874364,0.11169284467713787,0.05861500821878418,0.79,2166,3463
cicer arietinum,cicer arietinum,1760,7.3599853,0.5680480480480481,0.376009454754274,0.11140121845082682,0.05852045749616408,0.81,2166,3463
cicer arietinum,cicer arietinum,1810,7.3599853,0.5457710779855048,0.35741320895275286,0.11082251082251084,0.05891870189671321,0.84,2166,3463
cicer arietinum,cicer arietinum,1860,7.3599853,0.54220693884703,0.34880552717364866,0.11053540587219345,0.058872184109375766,0.86,2166,3463
cicer arietinum,cicer arietinum,1910,7.3599853,0.5494578551642263,0.3458554203643964,0.1104400345125108,0.05847690199200775,0.88,2166,3463
cicer arietinum,cicer arietinum,1960,6.897644,0.5562221408072296,0.3429616094764138,0.11034482758620691,0.05809034508508212,0.9,2166,3463
cicer arietinum,cicer arietinum,2010,6.897644,0.5467368421052632,0.3327124082880406,0.10996563573883161,0.05821419039012287,0.93,2166,3463
cicer arietinum,cicer arietinum,2060,6.897644,0.5062889194822243,0.30865829268296396,0.10893617021276596,0.059786828595184444,0.95,2166,3463
cicer arietinum,cicer arietinum,2110,6.897644,0.4772400279268194,0.2905121177207881,0.1080168776371308,0.061418806468706566,0.97,2166,3463
cicer arietinum,cicer arietinum,2160,6.897644,0.4535986145799304,0.27513495999330106,0.10711297071129708,0.06320948153531221,1.0,2166,3463
