,average,experiment,inchi key,inchi_keys,mass,no_reactions,plant,sum,sum_class
prunus persica,-14.441061007943263,0.0,RGJOEKWQDUBAIZ,"{'RGJOEKWQDUBAIZ-IBOSZNHHSA-J', 'RGJOEKWQDUBAIZ-DRCCLKDXSA-N'}",767.5,282.0,prunus persica,-4072.3792042399996,0.0
prunus persica,-8.502491,0.0,UYVZIWWBJMYRCD,"{'UYVZIWWBJMYRCD-TVCSPYKZSA-N', 'UYVZIWWBJMYRCD-ZMHDXICWSA-J'}",847.6,5.0,prunus persica,-42.512455,0.0
prunus persica,-4.9841537,0.0,PBSYQNUIZQXWAE,{'PBSYQNUIZQXWAE-UWVGGRQHSA-M'},414.4,1.0,prunus persica,-4.9841537,0.0
prunus persica,-3.5000305000000003,0.0,BDERNNFJNOPAEC,{'BDERNNFJNOPAEC-UHFFFAOYSA-N'},60.1,2.0,prunus persica,-7.0000610000000005,0.0
prunus persica,-19.377579684210527,0.0,YPZRHBJKEMOYQH,"{'YPZRHBJKEMOYQH-UYBVJOGSSA-L', 'YPZRHBJKEMOYQH-KUIMXZBMSA-N'}",785.5,19.0,prunus persica,-368.17401400000006,0.0
prunus persica,-2.1075660308421047,0.0,ZSLZBFCDCINBPY,"{'ZSLZBFCDCINBPY-KMYLAXNMSA-N', 'ZSLZBFCDCINBPY-ZSJPKINUSA-J'}",809.6,95.0,prunus persica,-200.2187729299999,0.0
prunus persica,16.220307875,0.0,WFPZSXYXPSUOPY,"{'WFPZSXYXPSUOPY-RYRBFGMPSA-N', 'WFPZSXYXPSUOPY-ROYWQJLOSA-N', 'WFPZSXYXPSUOPY-ROYWQJLOSA-L'}",589.3,8.0,prunus persica,129.762463,1.0
prunus persica,9.382385,0.0,WAWHTTXPRUWFCZ,{'WAWHTTXPRUWFCZ-DBGLWBBTSA-N'},598.5,1.0,prunus persica,9.382385,1.0
prunus persica,-41.59265635,0.0,JDMUPRLRUUMCTL,"{'JDMUPRLRUUMCTL-VIFPVBQESA-N', 'JDMUPRLRUUMCTL-VIFPVBQESA-L'}",358.35,6.0,prunus persica,-249.5559381,0.0
prunus persica,2.9099927,0.0,DCZDUZNVOVFUCD,"{'DCZDUZNVOVFUCD-HTXNQAPBSA-N', 'DCZDUZNVOVFUCD-HTXNQAPBSA-M'}",448.6,2.0,prunus persica,5.8199854,1.0
